,name,price,rating,review,url,Manufacturer,Asin
10,,,,,/sspa/click?ie=UTF8&spc=MTo2MTk1MTQ0MzUyMzE3MzU1OjE2ODE5ODExNDU6c3BfYXRmX25leHQ6MjAxMTM4MzEzMzMxOTg6OjA6Og&url=%2FHEROZ-Hammer-Durable-Travel-Laptop%2Fdp%2FB07MG3F91S%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1681981145%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,ManufacturerAMERICANTOURISTER,ASINB09B79LQFM
11,"        Half Moon Vision Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment |       ",509,4.2 out of 5 stars,12 ratings,/sspa/click?ie=UTF8&spc=MTo2MTk1MTQ0MzUyMzE3MzU1OjE2ODE5ODExNDU6c3BfYXRmX25leHQ6MjAxMzIwNzU1MjA2OTg6OjA6Og&url=%2FHalf-Moon-Resistant-Backpack-Compartment%2Fdp%2FB0BYW5SH4L%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1681981145%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,ManufacturerHalf_Moon,ASINB0BYW5SH4L
12,        DEIN KLEIDER Men's Nylon Messenger Bag       ,349.,4.0 out of 5 stars,"4,707 ratings",/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1681981145&sprefix=ba%2Caps%2C283&sr=8-19,ASINB084ZHP97M,ItempartnumberDK01CSPHYP
13,        Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag       ,728,4.1 out of 5 stars,"1,155 ratings",/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1681981145&sprefix=ba%2Caps%2C283&sr=8-20,ManufacturerWesley,ASINB098QFF5TJ
14,        URBAN CARRIER School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack       ,395,3.7 out of 5 stars,542 ratings,/School-school-partition-Collage-Backpack/dp/B09NNYCQ1Q/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1681981145&sprefix=ba%2Caps%2C283&sr=8-21,ManufacturerURBANCARRIER,ASINB09NNYCQ1Q
15,,,,,https://aax-eu.amazon.in/x/c/RII3_btfxUv6Q59iVX18EnsAAAGHneOBvAMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICA7rT6R/https://www.amazon.in/Sirona-Sanitary-Napkin-Diapers-Disposal/dp/B01NAZVN8M/ref=sxin_16_sbv_search_btf?content-id=amzn1.sym.93240040-7510-4cf9-a1aa-e295d190738a%3Aamzn1.sym.93240040-7510-4cf9-a1aa-e295d190738a&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B01NAZVN8M&pd_rd_r=f6802e74-3d91-4883-a1bf-66221753ae63&pd_rd_w=bwVNh&pd_rd_wg=jQSUI&pf_rd_p=93240040-7510-4cf9-a1aa-e295d190738a&pf_rd_r=VYB62PE22KNH6C1R0P3Q&qid=1681981145&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-17-69854b2b-eed5-48c0-8a3b-ed25f92e9cd8,ManufacturerURBANCARRIER,ASINB09NNYCQ1Q
16,"        FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls       ",649.,3.9 out of 5 stars,"3,501 ratings",/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1681981145&sprefix=ba%2Caps%2C283&sr=8-22,ManufacturerFURJADEN,ASINB09VTCNN75
17,,,,,/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1681981145&sprefix=ba%2Caps%2C283&sr=8-23,ManufacturerFURJADEN,ASINB09VTCNN75
18,        Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L       ,549.,3.9 out of 5 stars,182 ratings,/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QQZYN/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1681981145&sprefix=ba%2Caps%2C283&sr=8-24,ManufacturerSHABABAGS,ASINB0BS6QQZYN
19,        Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men       ,545,4.1 out of 5 stars,"4,046 ratings",/Bagneeds-Synthetic-Leather-Briefcase-Messenger/dp/B0855F8174/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1681981145&sprefix=ba%2Caps%2C283&sr=8-25,ManufacturerBagneeds,ASINB0855F8174
